Feature,Importance_Step_9
B_AMT_CREDIT_SUM_SUM_CA_CLOSED,0.868719716431986
ANNUITY_INCOME_RATIO_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.08523300055282755
AMT_ANNUITY_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.04603102338135345
AMT_ANNUITY_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,1.6259633833046078e-05
WEIGHTED_EXT_SOURCE,0.0
EXT_SOURCE_MIN,0.0
EXT_SOURCE_MAX,0.0
EXT_SOURCE_3,0.0
INCOME_EXT_RATIO,0.0
B_B_CURRENT_CREDIT_DEBT_DIFF_MIN_OVERALL,0.0
DAYS_EMPLOYED,0.0
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_MAX_OVERALL,0.0
EXT_SOURCE_2,0.0
EXT_SOURCE_1,0.0
CREDIT_ANNUITY_RATIO,0.0
B_DAYS_CREDIT_MEAN_OVERALL,0.0
DAYS_BIRTH,0.0
B_DAYS_CREDIT_MAX_OVERALL,0.0
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_SUM_OVERALL,0.0
AMT_ANNUITY_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
CREDIT_GOODS_RATIO,0.0
AMT_ANNUITY_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
AMT_ANNUITY_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
B_DAYS_CREDIT_ENDDATE_MEAN_OVERALL,0.0
AGE_EMPLOYED_DIFF_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
B_DAYS_CREDIT_MIN_CA_CLOSED,0.0
AMT_ANNUITY_MIN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0
AMT_INCOME_TOTAL_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0
AMT_INCOME_TOTAL_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
AMT_INCOME_TOTAL_MEAN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0
AMT_INCOME_TOTAL_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
AMT_ANNUITY_MEAN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
B_CREDIT_ACTIVE_ACTIVE_MEAN,0.0
B_DAYS_CREDIT_MAX_CA_ACTIVE,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_STD_OVERALL,0.0
AMT_INCOME_TOTAL_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0
DAYS_DETAILS_CHANGE_SUM,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0
AMT_ANNUITY_MIN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0
AMT_INCOME_TOTAL_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
B_DAYS_CREDIT_ENDDATE_MIN_CA_CLOSED,0.0
CREDIT_EXT_RATIO,0.0
B_CREDIT_ACTIVE_CLOSED_MEAN,0.0
B_DAYS_CREDIT_UPDATE_MEAN_OVERALL,0.0
B_B_CURRENT_CREDIT_DEBT_DIFF_MEAN_OVERALL,0.0
B_DAYS_CREDIT_ENDDATE_MIN_OVERALL,0.0
B_B_CURRENT_CREDIT_DEBT_DIFF_MAX_OVERALL,0.0
AGE_EMPLOYED_DIFF_MEAN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0
B_DAYS_CREDIT_ENDDATE_MEAN_CA_CLOSED,0.0
B_AMT_CREDIT_SUM_MEAN_CA_CLOSED,0.0
B_AMT_CREDIT_SUM_MAX_CA_CLOSED,0.0
AGE_EMPLOYED_DIFF_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0
DEF_30_CREDIT_RATIO,0.0
AGE_EMPLOYED_DIFF_MEAN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0
AMT_INCOME_TOTAL_MEAN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0
AMT_INCOME_TOTAL_MIN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0
AMT_INCOME_TOTAL_MAX_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0
AGE_EMPLOYED_DIFF_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0
B_DAYS_CREDIT_MAX_CA_CLOSED,0.0
MISSING_VALS_TOTAL_APP,0.0
REGION_RATING_MUL,0.0
AMT_ANNUITY_MIN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0
B_DAYS_CREDIT_SUM_OVERALL,0.0
AGE_EMPLOYED_DIFF_MIN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
B_DAYS_CREDIT_UPDATE_STD_OVERALL,0.0
